Quarter,Compound,Positive,Negative,Neutral
Q1_2021,0.829,0.197,0.122,0.681
Q2_2021,0.999,0.206,0.093,0.701
Q3_2021,0.831,0.255,0.134,0.611
Q4_2021,0.998,0.182,0.098,0.721
Q1_2022,1.0,0.213,0.098,0.689
Q3_2022,0.92,0.202,0.082,0.716
Q4_2022,0.996,0.202,0.1,0.697
Q1_2023,1.0,0.23,0.084,0.686
Q2_2023,0.981,0.202,0.076,0.722
Q3_2023,0.978,0.199,0.101,0.7
Q4_2023,1.0,0.206,0.098,0.696
Q1_2024,0.966,0.18,0.102,0.718
Q2_2024,0.743,0.187,0.14,0.673
