Quarter,Positive,Negative,Neutral
Q1_2021,2,2,0
Q2_2021,1,1,0
Q3_2021,3,0,3
Q4_2021,7,2,5
Q1_2022,6,0,6
Q2_2022,1,0,1
Q3_2022,9,3,6
Q4_2022,3,0,3
Q1_2023,1,2,-1
Q2_2023,8,5,3
Q3_2023,23,9,14
Q4_2023,2,1,1
Q1_2024,3,2,1
Q2_2024,1,0,1
