Compound,Positive,Negative,Neutral
0.906,0.209,0.071,0.72
0.906,0.209,0.071,0.72
0.906,0.209,0.071,0.72
0.906,0.209,0.071,0.72
0.906,0.209,0.071,0.72
0.906,0.209,0.071,0.72
0.906,0.209,0.071,0.72
0.906,0.209,0.071,0.72
0.906,0.209,0.071,0.72
0.906,0.209,0.071,0.72
0.906,0.209,0.071,0.72
