Quarter,Compound,Positive,Negative,Neutral
Q1_2021,0.674,0.196,0.133,0.671
Q3_2021,0.604,0.183,0.123,0.694
Q4_2021,1.0,0.199,0.087,0.714
Q1_2022,1.0,0.206,0.067,0.728
Q3_2022,1.0,0.205,0.072,0.723
Q4_2022,0.999,0.192,0.118,0.689
Q2_2023,0.999,0.178,0.105,0.717
Q3_2023,0.987,0.183,0.097,0.721
Q4_2023,0.5,0.173,0.113,0.714
Q1_2024,0.998,0.18,0.12,0.701
Q2_2024,0.972,0.222,0.1,0.678
