Quarter,Positive,Negative,Neutral
Q1_2021,1,1,0
Q3_2021,1,0,1
Q4_2021,3,0,3
Q1_2022,16,15,1
Q3_2022,1,0,1
Q4_2022,1,0,1
Q2_2023,4,3,1
Q3_2023,2,1,1
Q4_2023,2,1,1
Q1_2024,2,2,0
Q2_2024,2,0,2
