Quarter,Compound,Positive,Negative,Neutral
Q1_2021,1.0,0.224,0.102,0.673
Q2_2021,0.851,0.205,0.133,0.662
Q3_2021,0.999,0.212,0.131,0.657
Q4_2021,0.999,0.197,0.11,0.693
Q1_2022,1.0,0.22,0.114,0.665
Q2_2022,1.0,0.214,0.128,0.659
Q3_2022,0.819,0.193,0.113,0.694
Q4_2022,0.712,0.193,0.096,0.711
Q1_2023,0.928,0.234,0.118,0.648
Q2_2023,1.0,0.202,0.12,0.677
Q3_2023,0.2,0.207,0.133,0.661
Q4_2023,0.847,0.212,0.118,0.671
Q1_2024,0.714,0.198,0.136,0.665
Q2_2024,0.968,0.193,0.113,0.694
