Quarter,Positive,Negative,Neutral
Q1_2021,1406,632,774
Q2_2021,511,263,248
Q3_2021,104,72,32
Q4_2021,189,93,96
Q1_2022,102,55,47
Q2_2022,496,259,237
Q3_2022,648,224,424
Q4_2022,66,13,53
Q1_2023,143,71,72
Q2_2023,322,172,150
Q3_2023,522,294,228
Q4_2023,247,150,97
Q1_2024,55,12,43
Q2_2024,132,50,82
