Quarter,Compound,Positive,Negative,Neutral
1_2021,0.516,0.174,0.101,0.725
3_2021,0.023,0.162,0.162,0.675
4_2021,0.153,0.082,0.0,0.918
1_2022,-0.798,0.135,0.144,0.721
3_2022,0.73,0.265,0.109,0.627
4_2022,0.514,0.193,0.083,0.724
2_2023,-0.476,0.097,0.12,0.783
3_2023,0.656,0.236,0.099,0.665
4_2023,0.096,0.151,0.116,0.733
1_2024,-0.542,0.099,0.154,0.747
2_2024,0.906,0.209,0.071,0.72
