,Compound,Positive,Negative,Neutral
0,0.829,0.197,0.122,0.681
1,0.999,0.206,0.093,0.701
2,0.831,0.255,0.134,0.611
3,0.998,0.182,0.098,0.721
4,1.0,0.213,0.098,0.689
5,0.92,0.202,0.082,0.716
6,0.996,0.202,0.1,0.697
7,1.0,0.23,0.084,0.686
8,0.981,0.202,0.076,0.722
9,0.978,0.199,0.101,0.7
10,1.0,0.206,0.098,0.696
11,0.966,0.18,0.102,0.718
12,0.743,0.187,0.14,0.673
