,Compound,Positive,Negative,Neutral
0,0.906,0.209,0.071,0.72
1,0.906,0.209,0.071,0.72
2,0.906,0.209,0.071,0.72
3,0.906,0.209,0.071,0.72
4,0.906,0.209,0.071,0.72
5,0.906,0.209,0.071,0.72
6,0.906,0.209,0.071,0.72
7,0.906,0.209,0.071,0.72
8,0.906,0.209,0.071,0.72
9,0.906,0.209,0.071,0.72
10,0.906,0.209,0.071,0.72
